t,S,Sym,Power,Elite
1.506506506506506682e+01,1.160282523172614794e-01,2.785944519872819367e-02,2.894262237017585782e-01,1.205394388562657459e+00
1.511511511511511685e+01,1.166799033320612133e-01,2.788343863072658205e-02,2.882364946102493608e-01,1.206142713365062180e+00
1.516516516516516688e+01,1.173352142231118417e-01,2.790745272662459309e-02,2.870516560752801594e-01,1.206891502737416078e+00
1.521521521521521692e+01,1.179942055454249600e-01,2.793148750421862309e-02,2.858716879934985466e-01,1.207640756968130447e+00
1.526526526526526695e+01,1.186568979694555825e-01,2.795554298132040330e-02,2.846965703441898254e-01,1.208390476345795328e+00
1.531531531531531698e+01,1.193233122817503877e-01,2.797961917575699994e-02,2.835262831889374113e-01,1.209140661159180175e+00
1.536536536536536701e+01,1.199934693855999879e-01,2.800371610537083847e-02,2.823608066712844367e-01,1.209891311697233851e+00
1.541541541541541704e+01,1.206673903016942107e-01,2.802783378801970357e-02,2.812001210163971310e-01,1.210642428249084190e+00
1.546546546546546708e+01,1.213450961687818214e-01,2.805197224157676694e-02,2.800442065307288675e-01,1.211394011104038881e+00
1.551551551551551711e+01,1.220266082443332983e-01,2.807613148393058033e-02,2.788930436016863745e-01,1.212146060551584803e+00
1.556556556556556714e+01,1.227119479052078965e-01,2.810031153298512066e-02,2.777466126972967242e-01,1.212898576881389134e+00
1.561561561561561717e+01,1.234011366483238475e-01,2.812451240665977265e-02,2.766048943658762083e-01,1.213651560383298467e+00
1.566566566566566721e+01,1.240941960913328340e-01,2.814873412288934271e-02,2.754678692356999359e-01,1.214405011347339247e+00
1.571571571571571724e+01,1.247911479732981554e-01,2.817297669962411447e-02,2.743355180146734851e-01,1.215158930063718445e+00
1.576576576576576727e+01,1.254920141553764745e-01,2.819724015482980364e-02,2.732078214900052204e-01,1.215913316822822665e+00
1.581581581581581730e+01,1.261968166215033382e-01,2.822152450648760316e-02,2.720847605278808867e-01,1.216668171915219032e+00
1.586586586586586733e+01,1.269055774790832924e-01,2.824582977259420050e-02,2.709663160731382026e-01,1.217423495631655195e+00
1.591591591591591737e+01,1.276183189596827861e-01,2.827015597116177767e-02,2.698524691489441740e-01,1.218179288263059323e+00
1.596596596596596740e+01,1.283350634197277795e-01,2.829450312021802860e-02,2.687432008564727415e-01,1.218935550100539666e+00
1.601601601601601743e+01,1.290558333412048508e-01,2.831887123780617646e-02,2.676384923745843691e-01,1.219692281435385661e+00
1.606606606606606746e+01,1.297806513323665756e-01,2.834326034198497712e-02,2.665383249595065229e-01,1.220449482559067711e+00
1.611611611611611750e+01,1.305095401284404877e-01,2.836767045082874694e-02,2.654426799445155916e-01,1.221207153763236741e+00
1.616616616616616753e+01,1.312425225923422589e-01,2.839210158242736967e-02,2.643515387396205840e-01,1.221965295339725088e+00
1.621621621621621756e+01,1.319796217153929585e-01,2.841655375488629648e-02,2.632648828312469935e-01,1.222723907580545832e+00
1.626626626626626759e+01,1.327208606180399486e-01,2.844102698632658063e-02,2.621826937819235481e-01,1.223482990777894130e+00
1.631631631631631763e+01,1.334662625505824429e-01,2.846552129488488098e-02,2.611049532299684062e-01,1.224242545224145440e+00
1.636636636636636766e+01,1.342158508939005346e-01,2.849003669871347927e-02,2.600316428891786269e-01,1.225002571211857960e+00
1.641641641641641769e+01,1.349696491601886650e-01,2.851457321598028366e-02,2.589627445485189750e-01,1.225763069033770192e+00
1.646646646646646772e+01,1.357276809936931727e-01,2.853913086486885298e-02,2.578982400718136114e-01,1.226524038982803599e+00
1.651651651651651775e+01,1.364899701714538116e-01,2.856370966357840713e-02,2.568381113974380625e-01,1.227285481352060836e+00
1.656656656656656779e+01,1.372565406040496538e-01,2.858830963032383057e-02,2.557823405380127424e-01,1.228047396434826410e+00
1.661661661661661782e+01,1.380274163363491291e-01,2.861293078333571743e-02,2.547309095800980305e-01,1.228809784524567128e+00
1.666666666666666785e+01,1.388026215482641990e-01,2.863757314086033332e-02,2.536838006838897930e-01,1.229572645914932316e+00
1.671671671671671788e+01,1.395821805555086392e-01,2.866223672115967777e-02,2.526409960829174572e-01,1.230335980899753157e+00
1.676676676676676792e+01,1.403661178103611518e-01,2.868692154251148083e-02,2.516024780837417540e-01,1.231099789773043129e+00
1.681681681681681795e+01,1.411544579024317514e-01,2.871162762320919257e-02,2.505682290656552347e-01,1.231864072828998680e+00
1.686686686686686798e+01,1.419472255594336763e-01,2.873635498156204213e-02,2.495382314803827328e-01,1.232628830361998551e+00
1.691691691691691801e+01,1.427444456479587398e-01,2.876110363589501687e-02,2.485124678517839081e-01,1.233394062666604674e+00
1.696696696696696804e+01,1.435461431742572069e-01,2.878587360454887625e-02,2.474909207755566498e-01,1.234159770037561277e+00
1.701701701701701808e+01,1.443523432850222221e-01,2.881066490588019349e-02,2.464735729189419244e-01,1.234925952769795776e+00
1.706706706706706811e+01,1.451630712681788726e-01,2.883547755826133818e-02,2.454604070204293442e-01,1.235692611158418996e+00
1.711711711711711814e+01,1.459783525536769710e-01,2.886031158008050754e-02,2.444514058894646791e-01,1.236459745498724505e+00
1.716716716716716817e+01,1.467982127142888615e-01,2.888516698974173680e-02,2.434465524061579789e-01,1.237227356086189500e+00
1.721721721721721821e+01,1.476226774664118058e-01,2.891004380566490964e-02,2.424458295209929448e-01,1.237995443216474589e+00
1.726726726726726824e+01,1.484517726708741714e-01,2.893494204628577204e-02,2.414492202545381050e-01,1.238764007185423788e+00
1.731731731731731827e+01,1.492855243337470050e-01,2.895986173005594619e-02,2.404567076971581563e-01,1.239533048289064965e+00
1.736736736736736830e+01,1.501239586071594911e-01,2.898480287544295472e-02,2.394682750087276102e-01,1.240302566823609398e+00
1.741741741741741833e+01,1.509671017901194623e-01,2.900976550093021383e-02,2.384839054183445217e-01,1.241072563085452884e+00
1.746746746746746837e+01,1.518149803293381284e-01,2.903474962501706447e-02,2.375035822240464389e-01,1.241843037371174630e+00
1.751751751751751840e+01,1.526676208200597185e-01,2.905975526621877233e-02,2.365272887925266299e-01,1.242613989977538136e+00
1.756756756756756843e+01,1.535250500068957302e-01,2.908478244306655913e-02,2.355550085588521692e-01,1.243385421201491425e+00
1.761761761761761846e+01,1.543872947846637866e-01,2.910983117410760254e-02,2.345867250261825243e-01,1.244157331340166373e+00
1.766766766766766850e+01,1.552543821992312112e-01,2.913490147790505011e-02,2.336224217654899737e-01,1.244929720690879593e+00
1.771771771771771853e+01,1.561263394483634048e-01,2.915999337303804700e-02,2.326620824152808298e-01,1.245702589551132666e+00
1.776776776776776856e+01,1.570031938825768580e-01,2.918510687810171866e-02,2.317056906813174944e-01,1.246475938218611024e+00
1.781781781781781859e+01,1.578849730059972423e-01,2.921024201170722631e-02,2.307532303363424575e-01,1.247249766991185504e+00
1.786786786786786863e+01,1.587717044772219976e-01,2.923539879248175655e-02,2.298046852198025736e-01,1.248024076166911689e+00
1.791791791791791866e+01,1.596634161101878058e-01,2.926057723906852481e-02,2.288600392375751968e-01,1.248798866044030342e+00
1.796796796796796869e+01,1.605601358750432806e-01,2.928577737012681703e-02,2.279192763616947059e-01,1.249574136920966971e+00
1.801801801801801872e+01,1.614618918990260166e-01,2.931099920433197573e-02,2.269823806300810543e-01,1.250349889096332934e+00
1.806806806806806875e+01,1.623687124673451054e-01,2.933624276037544165e-02,2.260493361462684869e-01,1.251126122868924551e+00
1.811811811811811879e+01,1.632806260240681484e-01,2.936150805696474686e-02,2.251201270791361175e-01,1.251902838537723550e+00
1.816816816816816882e+01,1.641976611730136537e-01,2.938679511282352511e-02,2.241947376626390598e-01,1.252680036401897956e+00
1.821821821821821885e+01,1.651198466786479024e-01,2.941210394669155695e-02,2.232731521955413634e-01,1.253457716760800533e+00
1.826826826826826888e+01,1.660472114669877541e-01,2.943743457732474200e-02,2.223553550411489499e-01,1.254235879913970786e+00
1.831831831831831892e+01,1.669797846265073382e-01,2.946278702349514750e-02,2.214413306270449910e-01,1.255014526161133626e+00
1.836836836836836895e+01,1.679175954090509626e-01,2.948816130399099442e-02,2.205310634448252316e-01,1.255793655802200259e+00
