t,ext_stimulus,novelty,context,stress,opto_dopamine,opto_ach,opto_poa,sensory,mpoa_drive,dopamine,ach,nac_d1,nac_d2,pfc_control,mount,intromission,seg_ready,network_drive,threshold,refractory,event,phase
567,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.43026361377018224,0.04671310057413777,0.0,0.0,0.0,1.6,0.7898410694280364,0.0,0.0,0.0,-0.41141049137941443,1.0207317963293496,0.7858556146253687,0,refractory
568,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4403497841498035,0.06765910983645695,0.0,0.0,0.0,1.6,0.8133593671540834,0.0,0.0,0.0,-0.408024036364329,1.0183026737550442,0.7657546253229911,0,refractory
569,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4422745732715024,0.0916826657611928,0.0,0.0,0.0,1.6,0.8349168537295735,0.0,0.0,0.0,-0.40415925135497643,1.015890555038759,0.7457943429457302,0,refractory
570,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4262068043046003,0.11685147115977965,0.0,0.0,0.0,1.6,0.8554765021866592,0.0,0.0,0.0,-0.4001054848329194,1.0134953211534876,0.7259737825451101,0,refractory
571,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.43578398027469645,0.14566478683853715,0.0,0.0,0.0,1.6,0.8737923880644045,0.0,0.0,0.0,-0.39548804098070656,1.0111168539054132,0.7062919660672944,0,refractory
572,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4340800746965109,0.17684197287672643,0.0,0.0,0.0,1.6,0.8904997154278133,0.0,0.0,0.0,-0.39049832814722163,1.0087550359280755,0.6867479223048234,0,refractory
573,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4085916752279808,0.20789704533397085,0.0,0.0,0.0,1.6,0.9068410149727248,0.0,0.0,0.0,-0.3855090229787436,1.0064097506765788,0.6673406868486896,0,refractory
574,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.41322008224993356,0.2418213333395111,0.0,0.0,0.0,1.6,0.9213289036519131,0.0,0.0,0.0,-0.38007208066400433,1.0040808824218428,0.6480693020407489,0,refractory
575,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.39896956112914084,0.2766020684182075,0.0,0.0,0.0,1.6,0.9349673744156474,0.0,0.0,0.0,-0.37448900496707876,1.0017683162448898,0.6289328169264636,0,refractory
576,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.38724637288202457,0.3124377262650092,0.0,0.0,0.0,1.6,0.9476619383034958,0.0,0.0,0.0,-0.36873032825061214,0.9994719380311756,0.6099302872079785,0,refractory
577,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.38260692904300503,0.3499756470525983,0.0,0.0,0.0,1.6,0.9590928748113263,0.0,0.0,0.0,-0.3626991744733089,0.9971916344649574,0.5910607751975226,0,refractory
578,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.3972285636601136,0.3910584162362147,0.0,0.0,0.0,1.6,0.9683404926454549,0.0,0.0,0.0,-0.3561191471764781,0.9949272930237028,0.5723233497711401,0,refractory
579,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.3948309675719251,0.4338362654663345,0.0,0.0,0.0,1.6,0.9763248114590543,0.0,0.0,0.0,-0.3492670575580772,0.9926788019725369,0.5537170863227422,0,refractory
580,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.3989476447464152,0.4788776851115608,0.0,0.0,0.0,1.6,0.9827633596802444,0.0,0.0,0.0,-0.342057642994962,0.9904460503587291,0.535241066718483,0,refractory
581,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.41766941859408085,0.5275405159827373,0.008420389738579795,0.0,0.0,1.6,0.986303347503516,0.0,0.0,0.0,-0.33304082059800366,0.988228928006218,0.5168943792514538,0,refractory
582,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4341029394768755,0.5799511269900822,0.030148265492888487,0.0,0.0,1.6,0.9860835083152301,0.0,0.0,0.0,-0.3214334692287721,0.9860273255101745,0.49867611859669353,0,refractory
583,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4329052877395268,0.6349905609015505,0.06412175402260094,0.008369777761912361,0.0,1.6,0.9821187324894208,0.0,0.0,0.0,-0.30666049516683647,0.9838411342316032,0.48058538576651666,0,refractory
584,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.43037386600934063,0.6931452136743133,0.11105169829596705,0.024939256751164957,0.0,1.6,0.9735517019615635,0.0,0.0,0.0,-0.28850485483014615,0.9816702462919821,0.46262128806615105,0,refractory
585,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4177502050280715,0.7540514217443701,0.17043314978513566,0.048497442935847304,0.0,1.6,0.9600273693563942,0.0,0.0,0.0,-0.2671590413496059,0.9795145545679381,0.44478293904968796,0,refractory
586,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.41129561608513265,0.8189542435499947,0.24368820287054682,0.07935579211384576,0.00012503541497756177,1.6,0.9402737423234959,0.0,0.0,0.0,-0.24213094845983463,0.9773739526859626,0.42706945847634015,0,refractory
587,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.416297374917855,0.8896693721640221,0.3330908204026208,0.11840555342882748,0.022590445205022132,1.5902774365688463,0.912608110668916,0.0,0.0,0.0,-0.2097191629488407,0.9752483350171609,0.4094799722670058,0,refractory
588,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4208027875392373,0.9668902771083012,0.43961416943377285,0.16557996486042936,0.06972914914701024,1.5661474610803916,0.8759146089745429,0.0,0.0,0.0,-0.1688642113858002,0.9731375966720407,0.39201361246113675,0,refractory
589,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.42227305834940737,1.0510908231674732,0.563926904979412,0.22066204441329035,0.14383157887206297,1.5262104929241789,0.8291820113551006,0.0,0.0,0.0,-0.11899433076445706,0.9710416334953365,0.3746695171739088,0,refractory
590,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4325301525910703,1.14395076082318,0.7082532168343557,0.28456605605852714,0.2475276330205323,1.4688699243187162,0.7706583210912902,0.0,0.0,0.0,-0.05896139343205546,0.9689603420608691,0.3574468305536914,0,refractory
591,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.42470526635709566,1.244537774340475,0.8715289924746604,0.35589054081679566,0.3829663099865919,1.392736568672264,0.7000691152181279,0.0,0.0,0.0,0.011218465998957955,0.966893619666443,0.3403447027398156,0,arousal
592,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4243562905009772,1.354444274343969,1.0557612942062113,0.4355501817327604,0.5526025737039606,1.2962497492626832,0.6157091440948633,0.019712584724968098,0.0029678898002962403,0.0,0.09592528390423319,0.9648413643287779,0.32336228982063686,0,arousal
593,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.43189446876588616,1.4753686371031767,1.2632775905030516,0.5245893762380135,0.7592477994410981,1.1776474257176592,0.5157140947709069,0.0766997192516688,0.040551314443038416,0.0,0.2045373725238902,0.9628034747784765,0.3064987537918924,0,arousal
594,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.43766014907752987,1.5,1.4761626436601878,0.6124652623826342,1.0013010475001898,1.0374053876475808,0.40018800639814356,0.16148716437615857,0.11575480886159185,0.0,0.321780225918389,0.9607798504550271,0.28975326251534916,0,arousal
595,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.44806320087175283,1.5,1.6,0.697157510209001,1.258269033285875,0.8873055097670435,0.27646477792632884,0.2664000569406127,0.22854132570519758,0.06297141339750569,0.4554234180842022,0.958770391501842,0.27312498967774174,0,arousal
596,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.45131087690453325,1.5,1.6,0.7783272814026501,1.5041148390786938,0.7427152330400204,0.15504571967982952,0.3832700493598026,0.375768227990686,0.2026693934254199,0.6004659231681034,0.9567749987613291,0.25661311474999754,0,mounting
597,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.44736441627238355,1.5,1.6,0.8556598915372292,1.6,0.603373045158019,0.036233005600174936,0.5106983405369664,0.5474198702095054,0.4053711706986639,0.7569922580422291,0.9547935737699997,0.24021682294674757,0,intromission
598,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4502917622241122,1.5,1.6,0.9299914130617652,1.6,0.4690304116537278,0.0,0.6434053414724059,0.7317320900061938,0.6517082432065695,0.9127774607465372,0.9528260187536097,0.22393530518612034,0,intromission
599,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4394541397713066,1.5,1.6,1.000440076265027,1.6,0.33945112769337576,0.0,0.7788173468352554,0.9252437866704009,0.9333873938160473,1.076596045672218,0.9508722366223344,1.2,1,ejaculation
600,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.42268138086502305,1.4897681380865024,1.6,0.9791961944416769,1.6,0.3334785713087069,0.0,0.8065986606607413,0.8415628399400324,0.6080948372082762,0.7897125795399655,1.068,1.177,0,refractory
601,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4287808434393939,1.4846443375974143,1.6,0.8717674001212359,1.6,0.32504464274327155,0.0,0.8348976167547691,0.9237689623038204,0.5979723599860363,0.799331604198839,1.06524,1.154161,0,refractory
602,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.42827820637360803,1.4837606264188659,1.6,0.7769153472633124,1.6,0.3142917306061079,0.0,0.8642714077753334,0.9946654978883163,0.600697858849085,0.8128507540586544,1.0624993200000001,1.131481873,0,refractory
603,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4314311743828338,1.487305384792489,1.6,0.694340414772123,1.6,0.3013549688358025,0.0,0.8952463629034448,1.0568192930831795,0.6146413724823669,0.8302896218623295,1.05977782476,1.108961499889,0,refractory
604,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4143970837691062,1.4930763347216427,1.6,0.621639511784026,1.6,0.28636260038069233,0.0,0.9280815929530124,1.112336587977786,0.63848973077889,0.8511939307079539,1.05707537998668,1.0865987693897772,0,refractory
605,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.4113700601710876,1.5,1.5987467086410276,0.5592301771648311,1.6,0.26958671765150766,0.0,0.9628264025272548,1.1631617663113287,0.6713410641410835,0.8753765058500662,1.0543918523267732,1.0643925780040489,0,refractory
606,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.40611668662692885,1.5,1.5922750844637301,0.5053904338810702,1.6,0.2517614809937705,0.0,0.9984621322936272,1.2107300737890057,0.7120682191310375,0.900992090995488,1.0517271093604859,1.0423418299580205,0,refractory
607,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.398429898014485,1.5,1.5821562851641524,0.4592120616192997,1.6,0.23339567231934616,0.0,1.0347717605099311,1.2562121360476235,0.7598539831868328,0.9287365019301588,1.0490810195949625,1.0204454371483145,0,refractory
608,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.37714255202928093,1.5,1.5683924165194498,0.41896632216540164,1.6,0.2149722511788426,0.0,1.0715150342910695,1.3004551157453197,0.8138917052671343,0.9582562589161532,1.0464534524577978,0.9987023190882762,0,refractory
609,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.37590811512673916,1.5,1.5545493450159082,0.38575524816641904,1.6,0.19652199550858465,0.0,1.108644457591976,1.3443251211414788,0.8740189197607742,0.9902577980185243,1.0438442782905932,0.9771114028546584,0,refractory
610,0.65,0.18,0.2,0.05,0.0,0.0,0.42,0.38704483340333146,1.5,1.5431759839216608,0.3599783624715335,1.6,0.17776814600511515,0.0,1.1462655527907457,1.388656482379723,0.940525769881604,1.0254233191452693,1.041253368342559,0.9556716230346758,0,refractory
