t,mode,x,y,z,h,e,r,gate,drive,effective_input
5.65,activator_moderator,1.3026225082252916,0.522687121388485,-0.44042392607781106,0.5749828009539528,0.11435864275830288,2.035268565019036,0.3065773138011082,0.13560748616614263,0.13644802638635023
5.66,activator_moderator,1.3078493794391763,0.5182828821277069,-0.4477642119608044,0.5706447689227144,0.11474697532152758,2.039169479622809,0.30707108642675324,0.13544881153961433,0.13628638270790944
5.67,activator_moderator,1.3130322082604533,0.5138052400080989,-0.4551300603622085,0.5662623333017716,0.11513667729769861,2.043038688271307,0.3075670819327475,0.13529245361682046,0.1361271060060495
5.68,activator_moderator,1.3181702606605343,0.5092539394044768,-0.46252109896527166,0.5618379854336606,0.11552772451289565,2.0468756725986985,0.3080652738452275,0.13513844461540983,0.13597022878390422
5.69,activator_moderator,1.3232628000545792,0.5046287284148241,-0.4699369475858123,0.5573742196296255,0.11592009248847111,2.05067992424154,0.3085656351805374,0.13498681621680975,0.1358157829982254
5.7,activator_moderator,1.3283090873387273,0.49992935893896595,-0.4773772181243827,0.5528735312438894,0.11631375644675966,2.05445094505697,0.30906813844974884,0.13483759954672103,0.1356638000398302
5.71,activator_moderator,1.333308380928117,0.49515558675772214,-0.48484151452092505,0.5483384147683933,0.11670869131697896,2.058188247335103,0.30957275566348663,0.1346908251557325,0.1355143107141712
5.72,activator_moderator,1.3382599367956942,0.4903071716125129,-0.4923294327120236,0.5437713619497545,0.1171048717413195,2.0618913540050086,0.31007945833706013,0.134546523000097,0.13536734522207114
5.73,activator_moderator,1.3431630085118194,0.4853838772853927,-0.49984056059085447,0.5391748599301502,0.11750227208122169,2.065559798833691,0.31058821749590204,0.13440472242271573,0.13522293314066952
5.74,activator_moderator,1.3480168472846732,0.48038547167948414,-0.5073744779699274,0.5345513894137883,0.11790086642383735,2.069193126617489,0.3110990036813144,0.13426545213437224,0.13508110340462318
5.75,activator_moderator,1.352820702001468,0.47531172689978485,-0.5149307565467118,0.529903422860577,0.11830062858867282,2.0727908933653354,0.31161178695652025,0.13412874019526047,0.13494188428760476
5.76,activator_moderator,1.3575738192704658,0.47016241933431774,-0.5225089598722311,0.5252334227085574,0.11870153213441,2.0763526664733516,0.3121265369130212,0.13399461399684953,0.13480530338414315
